,tweet_created_at,user_name,user_location,user_description,user_following,user_friends_count,user_followers_count,user_following.1,tweet_full_text,user_default_profile,Tweets
0,Fri Sep 07 16:25:06 +0000 2018,Ultra YOU Woman,"California, USA","I share tips to achieve your health goals and be your best self inside & out! Plus healthy living, weight loss success stories, skincare & post-birth snap back!",False,48721.0,57983.0,False,Done is better than perfect. — Sheryl Sandberg #quote #motivation #justdoit https://t.co/J9lLdszdW6,True,done better perfect sheryl sandberg quote motivation justdoit
1,Fri Sep 07 16:24:59 +0000 2018,Yung Cut Up (Videos),"Miami, Florida","All Business inquiries contact cluuxx@gmail.com / Support & Download my new mixtape ""Clear Skies"" https://t.co/0tOeBuJHHH",False,5489.0,13241.0,False,"Shout out to the Great Fire Department and the tour! 👨‍🚒👨‍🚒 Much love to NYC! 💯🎥🔥✊🏿
•
•
•
#hero #fdny #likesforlikes #promo #music #instagood #instadaily #postoftheday #bestoftheday #justdoit #nike #picoftheday... https://t.co/sFobQ2ukpo",False,shout great fire department tour much love nyc hero fdny likesforlikes promo music instagood instadaily postoftheday bestoftheday justdoit nike picoftheday
2,Fri Sep 07 16:24:50 +0000 2018,Rachel Bogle,"Indianapolis, IN",Morning Traffic Reporter @CBS4Indy | Traffic Authority | Radio 📻 to TV 📺 | Indiana Raised | @IUBloomington Alum | Morkie Mom to Gizmo | Ms. USA Universal 2018,False,2386.0,11377.0,False,"There are some AMAZINGLY hilarious Nike Ad memes happening on my newsfeed.  Soooo, I decided to get a little creative too... 

#JustDoIt #4YourMorning #4YourMemeCollection 

🍪😂 https://t.co/6ok9qR6k6M",False,amazingly hilarious nike ad memes happening newsfeed soooo decided get little creative justdoit yourmorning yourmemecollection
3,Fri Sep 07 16:24:44 +0000 2018,Ervin Youngblood,Tennessee by way of New Jersey,"Christ-Family-Career.. NY
Giants, Mets, 76ers, Penguins, Florida State, Tar Heel Men's BB",False,965.0,218.0,False,#kapernickeffect #swoosh #justdoit @ Lucas Bishop's Cigar Lounge https://t.co/BhPBnjOkuU,True,kapernickeffect swoosh justdoit lucas bishops cigar lounge
4,Fri Sep 07 16:24:39 +0000 2018,NoLuckNeeded.com,Gambleville,https://t.co/Lnr5uRql8x is a Friendly Online Gambling Forum that was established in 2004 ♣  Be Gamble Aware 18+ https://t.co/2RyHF1JlEt,False,13629.0,13731.0,False,"One Hand, One Dream: The Shaquem Griffin Story  https://t.co/0EbEmwULLF   #shaquem  #NFL #Seattle #Seahawks #griffin #JustDoIt #Nike https://t.co/pr8eosDZS7",False,one hand one dream shaquem griffin story shaquem nfl seattle seahawks griffin justdoit nike
5,Fri Sep 07 16:24:35 +0000 2018,tazman69,"Austin, TX","Enjoys cycling, running & spending a relaxing day @ the lake. Equality and dignity for all human beings.",False,175.0,64.0,False,@realDonaldTrump It's time for me to stock up on some new running apparel. Nike it is! #JUSTDOIT,True,realdonaldtrump time stock new running apparel nike justdoit
6,Fri Sep 07 16:24:24 +0000 2018,MJJJusticeProject,World-Wide #IDWP,"https://t.co/vcCb62XQBh
https://t.co/TcTqP0Q5hA https://t.co/sRkZ8pMHcI",False,4760.0,11555.0,False,Why won't Trump protect our elections?  Think it over.  #RegisterToVote Vote -  #JustDoIt https://t.co/x9I3qgZDEH,False,wont trump protect elections think registertovote vote justdoit
7,Fri Sep 07 16:24:13 +0000 2018,Jim Christopher Aure,"Newark, DE",💈💈💈,False,129.0,88.0,False,"@Nike good job on shaking the whole world, i see what you did there. Millions and Millions of dollars worth of free advertising. #JustDoIt",True,nike good job shaking whole world see millions millions dollars worth free advertising justdoit
8,Fri Sep 07 16:24:09 +0000 2018,Elizabeth,,Lover of music. People watcher. Passionate about social justice and fairness.,False,412.0,393.0,False,GREAT way to meet good people...wearing your Nike gear in the park! Thanks @Nike @nikestore @Kaepernick7 #JustDoIt #TakeAKnee #TakeAKneeInNikes https://t.co/TIFLnv2puQ,False,great way meet good peoplewearing nike gear park thanks nike nikestore kaepernick justdoit takeaknee takeakneeinnikes
9,Fri Sep 07 16:23:51 +0000 2018,icm_ng,Federal Capital Territory,😀,False,8.0,7.0,False,"Lead,Trade and Succeed with ICM
Please retweet 
#FX #FeelGoodFriday #FridayFeeling #TRADERMONI #JustDoIt #FridayMotivation https://t.co/rtmVToSucq",False,leadtrade succeed icm please retweet fx feelgoodfriday fridayfeeling tradermoni justdoit fridaymotivation
10,Fri Sep 07 16:23:41 +0000 2018,Christian Emmerke,Chelsea AL,,False,422.0,493.0,False,My favorites so far #JustDoIt https://t.co/zY7VDa5Q0X,False,favorites far justdoit
11,Fri Sep 07 16:23:40 +0000 2018,2nd Vote,"Nashville, Tenn.",Conservative watchdog for corporate activism. 501(c)(3) Non-Profit. #TCOT #ProLife #2A Download our app: https://t.co/NLZCmynjLf,False,2433.0,3298.0,False,"Colin Kaepernick's business partner @Nike sends millions of dollars to groups which target black lives for gruesome deaths domestically and abroad. #NikeBoycott #JustDoIt

https://t.co/abSV7fP7YN",False,colin kaepernicks business partner nike sends millions dollars groups target black lives gruesome deaths domestically abroad nikeboycott justdoit
12,Fri Sep 07 16:23:37 +0000 2018,Awe Ayodeji💎,"Abuja, Nigeria","#SDG4 Advocate.
Software Developer @tclafrica.
Writer on #youthdevelopment, #Education,Tech and my adventures https://t.co/pIm9bizydi",False,321.0,329.0,False,@CSPensions Why be a cat when you can be a lion. #JustDoIt  ;),False,cspensions cat lion justdoit
13,Fri Sep 07 16:23:30 +0000 2018,terpskinsos,,,False,102.0,80.0,False,"@realDonaldTrump They were thinking history will judge the treatment of @ColinKaperneck7 and will come out on his side, they decided to lead! #JustDoIt",True,realdonaldtrump thinking history judge treatment colinkaperneck come side decided lead justdoit
14,Fri Sep 07 16:23:27 +0000 2018,JD Crow,,,False,420.0,192.0,False,@RepAdamSchiff Go ahead @RepAdamSchiff   #JustDoIt #SpartacAssJr,False,repadamschiff go ahead repadamschiff justdoit spartacassjr
